"","Var1","Var2","value","strength","estiamte.cor","CI1","CI2","pval"
"34","concavePoints_worst","area_worst",0.747418802322818,"strong",0.747418802322818,0.708764927560105,0.781598098475188,8.93370253950381e-103
"35","symmetry_worst","area_worst",0.209145508387079,"weak",0.209145508387079,0.129168520578936,0.286419161173981,4.81100018895451e-07
"36","fractalDimension_worst","area_worst",0.079647034024676,"weak",0.079647034024676,-0.00256732984191138,0.160791918942214,0.0576016418062379
"37","radius_worst","smoothness_worst",0.216574431259696,"weak",0.216574431259696,0.136812394216868,0.293546308562784,1.82054591210308e-07
"38","texture_worst","smoothness_worst",0.225429414909487,"weak",0.225429414909487,0.145936016272583,0.302030423672726,5.46045549346083e-08
"39","perimeter_worst","smoothness_worst",0.23677460388607,"weak",0.23677460388607,0.157645184690939,0.312882744093732,1.08404914474006e-08
"40","area_worst","smoothness_worst",0.20914533376029,"weak",0.20914533376029,0.129168341011082,0.286418993540254,4.81110811747519e-07
"41","compactness_worst","smoothness_worst",0.568186516685607,"strong",0.568186516685607,0.509798349781797,0.621364164744421,5.89663612388737e-50
"42","concavity_worst","smoothness_worst",0.518523292864002,"strong",0.518523292864002,0.45575043438555,0.576163964440211,1.78325343224905e-40
"43","concavePoints_worst","smoothness_worst",0.547690902949787,"strong",0.547690902949787,0.487437211371458,0.602753200865838,7.51711578390134e-46
"44","symmetry_worst","smoothness_worst",0.493838330235759,"mid",0.493838330235759,0.429057194136124,0.553565391746123,2.5710521296259e-36
"45","fractalDimension_worst","smoothness_worst",0.617624191655438,"strong",0.617624191655438,0.564062509298066,0.666010271659326,3.85339455173701e-61
"46","radius_worst","compactness_worst",0.475820037460147,"mid",0.475820037460147,0.409644174727712,0.537014296262957,1.73225430853387e-33
"47","texture_worst","compactness_worst",0.360832338597973,"mid",0.360832338597973,0.287151564790672,0.430268335340811,6.13900399425774e-19
"48","perimeter_worst","compactness_worst",0.529407690164103,"strong",0.529407690164103,0.467556323609247,0.586100486745556,2.02480590267757e-42
"49","area_worst","compactness_worst",0.438296283779674,"mid",0.438296283779674,0.369407322199849,0.502394144618288,4.12443741644013e-28
"50","smoothness_worst","compactness_worst",0.568186516685607,"strong",0.568186516685607,0.509798349781797,0.621364164744421,5.89663612388737e-50
"51","concavity_worst","compactness_worst",0.892260898776469,"strong",0.892260898776469,0.874176934830412,0.907873500483418,5.97354338360282e-198
"52","concavePoints_worst","compactness_worst",0.801080364635253,"strong",0.801080364635253,0.769555620684269,0.828709980438686,1.7362104947514e-128
"53","symmetry_worst","compactness_worst",0.614440501149306,"strong",0.614440501149306,0.5605540098372,0.663145554430447,2.32482974701897e-60
"54","fractalDimension_worst","compactness_worst",0.810454856311612,"strong",0.810454856311612,0.780234500686288,0.836900284282418,8.51496767023593e-134
"55","radius_worst","concavity_worst",0.573974708099304,"strong",0.573974708099304,0.516127705278817,0.626609266194903,3.61674031282381e-51
"56","texture_worst","concavity_worst",0.368365607459945,"mid",0.368365607459945,0.295103414675237,0.437321610661501,9.98389700878682e-20
"57","perimeter_worst","concavity_worst",0.618344079533516,"strong",0.618344079533516,0.564856110321652,0.666657836332384,2.55920629178269e-61
"58","area_worst","concavity_worst",0.54333052541108,"strong",0.54333052541108,0.482690123252558,0.598786033002442,5.16847846023696e-45
"59","smoothness_worst","concavity_worst",0.518523292864002,"strong",0.518523292864002,0.45575043438555,0.576163964440211,1.78325343224905e-40
"60","compactness_worst","concavity_worst",0.892260898776469,"strong",0.892260898776469,0.874176934830412,0.907873500483418,5.97354338360282e-198
"61","concavePoints_worst","concavity_worst",0.855433860343999,"strong",0.855433860343999,0.831718215173876,0.87603349551218,3.76409772969541e-164
"62","symmetry_worst","concavity_worst",0.532519729118362,"strong",0.532519729118362,0.470935894368549,0.588938380260184,5.46044236452272e-43
"63","fractalDimension_worst","concavity_worst",0.686510921244863,"strong",0.686510921244863,0.640453869566241,0.727647668695345,1.65172829580723e-80
"64","radius_worst","concavePoints_worst",0.787423851712241,"strong",0.787423851712241,0.75403039750692,0.816757347002852,3.05606387614783e-121
"65","texture_worst","concavePoints_worst",0.359754609525037,"mid",0.359754609525037,0.286014782167619,0.429258581692407,7.92946900368022e-19
"66","perimeter_worst","concavePoints_worst",0.816322101687544,"strong",0.816322101687544,0.78692710381575,0.842020359628108,2.84461657589656e-137
"67","area_worst","concavePoints_worst",0.747418802322818,"strong",0.747418802322818,0.708764927560105,0.781598098475188,8.93370253950381e-103
"68","smoothness_worst","concavePoints_worst",0.547690902949787,"strong",0.547690902949787,0.487437211371458,0.602753200865838,7.51711578390134e-46
"69","compactness_worst","concavePoints_worst",0.801080364635253,"strong",0.801080364635253,0.769555620684269,0.828709980438686,1.7362104947514e-128
"70","concavity_worst","concavePoints_worst",0.855433860343999,"strong",0.855433860343999,0.831718215173876,0.87603349551218,3.76409772969541e-164
"71","symmetry_worst","concavePoints_worst",0.502528493830698,"strong",0.502528493830698,0.438441470340734,0.561531101434278,9.6514737444421e-38
"72","fractalDimension_worst","concavePoints_worst",0.511114145886339,"strong",0.511114145886339,0.447726630384662,0.569390287239904,3.43084591903332e-39
"73","radius_worst","symmetry_worst",0.243529204291313,"weak",0.243529204291313,0.164627071495636,0.319334480683498,3.9773634210665e-09
"74","texture_worst","symmetry_worst",0.233027461445317,"weak",0.233027461445317,0.153775362915,0.309300585104459,1.86636294733541e-08
"75","perimeter_worst","symmetry_worst",0.269492769083817,"weak",0.269492769083817,0.191538097309867,0.34406863815961,6.33691979796716e-11
"76","area_worst","symmetry_worst",0.209145508387079,"weak",0.209145508387079,0.129168520578936,0.286419161173981,4.81100018895451e-07
"77","smoothness_worst","symmetry_worst",0.493838330235759,"mid",0.493838330235759,0.429057194136124,0.553565391746123,2.5710521296259e-36
"78","compactness_worst","symmetry_worst",0.614440501149306,"strong",0.614440501149306,0.5605540098372,0.663145554430447,2.32482974701897e-60
"79","concavity_worst","symmetry_worst",0.532519729118362,"strong",0.532519729118362,0.470935894368549,0.588938380260184,5.46044236452272e-43
"80","concavePoints_worst","symmetry_worst",0.502528493830698,"strong",0.502528493830698,0.438441470340734,0.561531101434278,9.6514737444421e-38
"81","fractalDimension_worst","symmetry_worst",0.537848206253608,"strong",0.537848206253608,0.476726643591177,0.593794233242452,5.60863275977895e-44
"82","radius_worst","fractalDimension_worst",0.0934919786793017,"weak",0.0934919786793017,0.0113818902748293,0.174349690153292,0.0257398897417977
"83","texture_worst","fractalDimension_worst",0.219122425463159,"weak",0.219122425463159,0.139436302326429,0.295988829702276,1.29404720052599e-07
"84","perimeter_worst","fractalDimension_worst",0.138956861845757,"weak",0.138956861845757,0.0574150960676776,0.218656937110315,0.000888998582030888
"85","area_worst","fractalDimension_worst",0.079647034024676,"weak",0.079647034024676,-0.00256732984191138,0.160791918942214,0.0576016418062379
"86","smoothness_worst","fractalDimension_worst",0.617624191655438,"strong",0.617624191655438,0.564062509298066,0.666010271659326,3.85339455173701e-61
"87","compactness_worst","fractalDimension_worst",0.810454856311612,"strong",0.810454856311612,0.780234500686288,0.836900284282418,8.51496767023593e-134
"88","concavity_worst","fractalDimension_worst",0.686510921244863,"strong",0.686510921244863,0.640453869566241,0.727647668695345,1.65172829580723e-80
"89","concavePoints_worst","fractalDimension_worst",0.511114145886339,"strong",0.511114145886339,0.447726630384662,0.569390287239904,3.43084591903332e-39
"90","symmetry_worst","fractalDimension_worst",0.537848206253608,"strong",0.537848206253608,0.476726643591177,0.593794233242452,5.60863275977895e-44
